query_id,doc_id,method,correctness,faithfulness,completeness,relevance,abstained
doc001_q07,doc001,dat_no_expansion,4,5,4,4,True
doc001_q07,doc001,dat_parent_only,5,4,3,3,False
doc001_q07,doc001,dat_no_self_scoring,3,5,2,5,True
doc001_q08,doc001,dat_full,4,5,3,5,
doc001_q08,doc001,flat_rag,4,2,4,3,
doc001_q08,doc001,section_rag,3,3,4,4,
doc001_q08,doc001,long_context,4,3,4,3,
doc001_q08,doc001,dat_no_expansion,3,3,4,5,
doc001_q08,doc001,dat_parent_only,4,3,3,4,
doc001_q08,doc001,dat_no_self_scoring,4,5,4,5,
doc001_q09,doc001,dat_full,3,5,5,5,
doc001_q09,doc001,flat_rag,3,4,3,4,
doc001_q09,doc001,section_rag,4,2,4,3,
doc001_q09,doc001,long_context,3,3,3,3,
doc001_q09,doc001,dat_no_expansion,3,3,3,5,
doc001_q09,doc001,dat_parent_only,5,3,4,4,
doc001_q09,doc001,dat_no_self_scoring,4,4,3,3,
doc001_q10,doc001,dat_full,4,5,4,5,
doc001_q10,doc001,flat_rag,2,4,3,5,
doc001_q10,doc001,section_rag,4,4,4,4,
doc001_q10,doc001,long_context,5,5,3,4,
doc001_q10,doc001,dat_no_expansion,5,4,3,5,
doc001_q10,doc001,dat_parent_only,4,4,3,2,
doc001_q10,doc001,dat_no_self_scoring,4,3,4,4,
doc002_q01,doc002,dat_full,4,4,3,4,
doc002_q01,doc002,flat_rag,3,3,2,2,
doc002_q01,doc002,section_rag,4,3,4,4,
doc002_q01,doc002,long_context,4,3,3,3,
doc002_q01,doc002,dat_no_expansion,3,5,2,3,
doc002_q01,doc002,dat_parent_only,4,4,4,5,
doc002_q01,doc002,dat_no_self_scoring,3,5,3,5,
doc002_q02,doc002,dat_full,5,4,3,5,
doc002_q02,doc002,flat_rag,4,4,3,4,
doc002_q02,doc002,section_rag,3,4,3,5,
doc002_q02,doc002,long_context,4,3,3,3,
doc002_q02,doc002,dat_no_expansion,5,5,5,4,
doc002_q02,doc002,dat_parent_only,3,3,4,4,
doc002_q02,doc002,dat_no_self_scoring,3,4,3,3,
doc002_q03,doc002,dat_full,4,5,4,5,
doc002_q03,doc002,flat_rag,3,4,4,4,
doc002_q03,doc002,section_rag,3,4,4,4,
doc002_q03,doc002,long_context,5,5,3,5,
doc002_q03,doc002,dat_no_expansion,4,3,3,4,
doc002_q03,doc002,dat_parent_only,5,4,4,5,
doc002_q03,doc002,dat_no_self_scoring,4,3,5,3,
doc002_q04,doc002,dat_full,5,4,3,3,
doc002_q04,doc002,flat_rag,3,4,1,3,
doc002_q04,doc002,section_rag,3,3,4,3,
doc002_q04,doc002,long_context,5,4,4,4,
doc002_q04,doc002,dat_no_expansion,4,4,3,3,
doc002_q04,doc002,dat_parent_only,5,4,3,5,
doc002_q04,doc002,dat_no_self_scoring,2,4,4,5,
doc002_q05,doc002,dat_full,3,5,4,5,
doc002_q05,doc002,flat_rag,2,4,3,3,
doc002_q05,doc002,section_rag,3,4,4,4,
doc002_q05,doc002,long_context,4,4,4,4,
doc002_q05,doc002,dat_no_expansion,3,4,3,5,
doc002_q05,doc002,dat_parent_only,5,3,4,4,
doc002_q05,doc002,dat_no_self_scoring,5,4,3,5,
doc002_q06,doc002,dat_full,5,4,4,3,
doc002_q06,doc002,flat_rag,4,3,3,5,
doc002_q06,doc002,section_rag,3,5,3,4,
doc002_q06,doc002,long_context,5,3,4,3,
doc002_q06,doc002,dat_no_expansion,4,5,3,3,
doc002_q06,doc002,dat_parent_only,4,5,4,4,
doc002_q06,doc002,dat_no_self_scoring,4,3,3,4,
doc002_q07,doc002,dat_full,5,5,5,5,True
doc002_q07,doc002,flat_rag,5,3,3,5,False
doc002_q07,doc002,section_rag,4,4,3,4,True
doc002_q07,doc002,long_context,3,5,3,4,True
doc002_q07,doc002,dat_no_expansion,4,3,3,3,True
doc002_q07,doc002,dat_parent_only,4,3,4,3,False
doc002_q07,doc002,dat_no_self_scoring,3,4,5,5,False
doc002_q08,doc002,dat_full,4,4,5,4,
doc002_q08,doc002,flat_rag,4,4,3,3,
doc002_q08,doc002,section_rag,3,3,4,4,
doc002_q08,doc002,long_context,4,3,3,4,
doc002_q08,doc002,dat_no_expansion,4,3,4,5,
doc002_q08,doc002,dat_parent_only,5,5,4,4,
doc002_q08,doc002,dat_no_self_scoring,4,4,4,4,
doc003_q01,doc003,dat_full,4,4,4,4,
doc003_q01,doc003,flat_rag,4,4,1,4,
doc003_q01,doc003,section_rag,3,4,4,3,
doc003_q01,doc003,long_context,4,3,3,4,
doc003_q01,doc003,dat_no_expansion,3,4,4,4,
doc003_q01,doc003,dat_parent_only,4,4,3,4,
doc003_q01,doc003,dat_no_self_scoring,4,2,3,4,
doc003_q02,doc003,dat_full,4,3,4,5,
doc003_q02,doc003,flat_rag,3,3,2,4,
doc003_q02,doc003,section_rag,2,2,3,4,
doc003_q02,doc003,long_context,2,4,5,4,
doc003_q02,doc003,dat_no_expansion,4,5,3,5,
doc003_q02,doc003,dat_parent_only,4,5,3,4,
doc003_q02,doc003,dat_no_self_scoring,3,4,4,5,
doc003_q03,doc003,dat_full,3,4,4,4,
doc003_q03,doc003,flat_rag,2,4,2,3,
doc003_q03,doc003,section_rag,5,4,3,4,
doc003_q03,doc003,long_context,4,3,2,3,
doc003_q03,doc003,dat_no_expansion,5,4,4,5,
doc003_q03,doc003,dat_parent_only,4,3,3,5,
doc003_q03,doc003,dat_no_self_scoring,3,4,4,5,
doc003_q04,doc003,dat_full,3,3,4,4,
doc003_q04,doc003,flat_rag,3,3,2,4,
doc003_q04,doc003,section_rag,4,3,3,4,
doc003_q04,doc003,long_context,4,4,4,4,
doc003_q04,doc003,dat_no_expansion,5,4,3,4,
doc003_q04,doc003,dat_parent_only,3,5,3,5,
doc003_q04,doc003,dat_no_self_scoring,3,3,4,4,
doc003_q05,doc003,dat_full,5,3,4,5,
doc003_q05,doc003,flat_rag,3,3,4,5,
doc003_q05,doc003,section_rag,3,3,3,3,
doc003_q05,doc003,long_context,4,4,4,5,
doc003_q05,doc003,dat_no_expansion,5,4,3,5,
doc003_q05,doc003,dat_parent_only,5,4,4,3,
doc003_q05,doc003,dat_no_self_scoring,3,3,3,4,
doc003_q06,doc003,dat_full,5,4,3,3,True
doc003_q06,doc003,flat_rag,2,5,3,2,True
doc003_q06,doc003,section_rag,5,2,5,4,True
doc003_q06,doc003,long_context,4,5,3,3,False
doc003_q06,doc003,dat_no_expansion,5,5,5,5,False
doc003_q06,doc003,dat_parent_only,3,4,3,2,True
doc003_q06,doc003,dat_no_self_scoring,4,3,3,4,True
doc003_q07,doc003,dat_full,4,4,3,4,
doc003_q07,doc003,flat_rag,3,4,2,2,
doc003_q07,doc003,section_rag,3,4,3,4,
doc003_q07,doc003,long_context,4,5,4,3,
doc003_q07,doc003,dat_no_expansion,5,3,3,4,
doc003_q07,doc003,dat_parent_only,5,5,3,5,
doc003_q07,doc003,dat_no_self_scoring,4,3,3,3,
doc003_q08,doc003,dat_full,3,5,2,4,
doc003_q08,doc003,flat_rag,2,3,3,3,
doc003_q08,doc003,section_rag,5,4,4,4,
doc003_q08,doc003,long_context,3,4,4,4,
doc003_q08,doc003,dat_no_expansion,5,5,4,3,
doc003_q08,doc003,dat_parent_only,4,4,4,3,
doc003_q08,doc003,dat_no_self_scoring,3,4,2,4,
doc004_q01,doc004,dat_full,5,5,4,5,
doc004_q01,doc004,flat_rag,3,4,3,4,
doc004_q01,doc004,section_rag,3,3,4,4,
doc004_q01,doc004,long_context,4,3,4,3,
doc004_q01,doc004,dat_no_expansion,2,5,4,3,
doc004_q01,doc004,dat_parent_only,4,4,3,4,
doc004_q01,doc004,dat_no_self_scoring,3,4,2,5,
doc004_q02,doc004,dat_full,5,5,3,4,
doc004_q02,doc004,flat_rag,4,4,2,3,
doc004_q02,doc004,section_rag,4,5,4,5,
doc004_q02,doc004,long_context,5,4,4,4,
doc004_q02,doc004,dat_no_expansion,3,4,4,5,
doc004_q02,doc004,dat_parent_only,3,5,4,4,
doc004_q02,doc004,dat_no_self_scoring,4,2,3,4,
doc004_q03,doc004,dat_full,2,4,4,5,
doc004_q03,doc004,flat_rag,4,2,2,4,
doc004_q03,doc004,section_rag,4,4,3,3,
doc004_q03,doc004,long_context,5,4,4,5,
doc004_q03,doc004,dat_no_expansion,4,5,4,3,
doc004_q03,doc004,dat_parent_only,3,4,3,4,
doc004_q03,doc004,dat_no_self_scoring,5,4,4,3,
doc004_q04,doc004,dat_full,4,5,4,5,
doc004_q04,doc004,flat_rag,4,3,4,5,
doc004_q04,doc004,section_rag,3,2,4,3,
doc004_q04,doc004,long_context,4,4,3,3,
doc004_q04,doc004,dat_no_expansion,5,5,3,5,
doc004_q04,doc004,dat_parent_only,5,4,5,4,
doc004_q04,doc004,dat_no_self_scoring,4,4,4,4,
doc004_q05,doc004,dat_full,4,4,3,2,
doc004_q05,doc004,flat_rag,3,4,2,3,
doc004_q05,doc004,section_rag,2,4,3,4,
doc004_q05,doc004,long_context,4,5,5,4,
doc004_q05,doc004,dat_no_expansion,5,2,4,4,
doc004_q05,doc004,dat_parent_only,4,3,4,5,
doc004_q05,doc004,dat_no_self_scoring,3,3,2,4,
doc004_q06,doc004,dat_full,4,5,4,5,False
doc004_q06,doc004,flat_rag,4,3,1,4,False
doc004_q06,doc004,section_rag,3,3,3,3,True
doc004_q06,doc004,long_context,4,4,4,4,True
doc004_q06,doc004,dat_no_expansion,5,4,4,4,True
doc004_q06,doc004,dat_parent_only,3,3,4,4,False
doc004_q06,doc004,dat_no_self_scoring,4,3,4,4,False
doc004_q07,doc004,dat_full,4,5,5,4,
doc004_q07,doc004,flat_rag,4,4,1,2,
doc004_q07,doc004,section_rag,3,2,3,4,
doc004_q07,doc004,long_context,3,4,4,4,
doc004_q07,doc004,dat_no_expansion,3,4,3,4,
doc004_q07,doc004,dat_parent_only,4,4,4,3,
doc004_q07,doc004,dat_no_self_scoring,4,3,3,3,
doc004_q08,doc004,dat_full,5,4,3,4,
doc004_q08,doc004,flat_rag,3,3,1,3,
doc004_q08,doc004,section_rag,3,2,3,4,
doc004_q08,doc004,long_context,3,5,4,2,
doc004_q08,doc004,dat_no_expansion,4,3,4,5,
doc004_q08,doc004,dat_parent_only,4,4,2,3,
doc004_q08,doc004,dat_no_self_scoring,4,4,3,4,
doc005_q01,doc005,dat_full,4,4,4,5,
doc005_q01,doc005,flat_rag,4,3,3,4,
doc005_q01,doc005,section_rag,4,3,3,2,
doc005_q01,doc005,long_context,5,5,4,4,
doc005_q01,doc005,dat_no_expansion,4,3,5,4,
doc005_q01,doc005,dat_parent_only,5,3,3,5,
doc005_q01,doc005,dat_no_self_scoring,3,4,3,3,
doc005_q02,doc005,dat_full,5,5,4,5,
doc005_q02,doc005,flat_rag,3,2,3,4,
doc005_q02,doc005,section_rag,3,3,3,3,
doc005_q02,doc005,long_context,5,2,3,3,
doc005_q02,doc005,dat_no_expansion,4,5,2,4,
doc005_q02,doc005,dat_parent_only,3,3,5,3,
doc005_q02,doc005,dat_no_self_scoring,4,4,4,4,
doc005_q03,doc005,dat_full,4,5,3,4,
doc005_q03,doc005,flat_rag,5,3,4,4,
doc005_q03,doc005,section_rag,4,3,4,3,
doc005_q03,doc005,long_context,4,4,4,5,
doc005_q03,doc005,dat_no_expansion,4,4,4,4,
doc005_q03,doc005,dat_parent_only,4,3,3,4,
doc005_q03,doc005,dat_no_self_scoring,5,2,3,4,
doc005_q04,doc005,dat_full,5,4,5,4,
doc005_q04,doc005,flat_rag,3,3,3,4,
doc005_q04,doc005,section_rag,3,4,5,4,
doc005_q04,doc005,long_context,3,3,5,3,
doc005_q04,doc005,dat_no_expansion,5,3,4,4,
doc005_q04,doc005,dat_parent_only,2,4,3,3,
doc005_q04,doc005,dat_no_self_scoring,4,5,2,4,
doc005_q05,doc005,dat_full,5,5,3,4,True
doc005_q05,doc005,flat_rag,4,2,5,3,True
doc005_q05,doc005,section_rag,3,2,5,4,True
doc005_q05,doc005,long_context,4,5,4,3,False
doc005_q05,doc005,dat_no_expansion,4,4,3,4,True
doc005_q05,doc005,dat_parent_only,4,4,4,4,True
doc005_q05,doc005,dat_no_self_scoring,5,4,4,5,True
doc005_q06,doc005,dat_full,4,5,4,4,
doc005_q06,doc005,flat_rag,3,4,5,4,
doc005_q06,doc005,section_rag,3,4,3,3,
doc005_q06,doc005,long_context,3,5,5,3,
doc005_q06,doc005,dat_no_expansion,5,3,5,4,
doc005_q06,doc005,dat_parent_only,3,4,3,4,
doc005_q06,doc005,dat_no_self_scoring,3,4,5,4,
doc005_q07,doc005,dat_full,3,5,4,4,
doc005_q07,doc005,flat_rag,3,5,4,3,
doc005_q07,doc005,section_rag,3,4,5,4,
doc005_q07,doc005,long_context,4,3,3,3,
doc005_q07,doc005,dat_no_expansion,4,4,4,4,
doc005_q07,doc005,dat_parent_only,4,5,3,3,
doc005_q07,doc005,dat_no_self_scoring,4,2,4,4,
doc005_q08,doc005,dat_full,5,4,3,4,
doc005_q08,doc005,flat_rag,2,3,5,3,
doc005_q08,doc005,section_rag,4,3,5,5,
doc005_q08,doc005,long_context,4,5,4,4,
doc005_q08,doc005,dat_no_expansion,4,3,3,4,
doc005_q08,doc005,dat_parent_only,4,5,2,3,
doc005_q08,doc005,dat_no_self_scoring,4,3,3,4,
doc006_q01,doc006,dat_full,4,4,4,5,
doc006_q01,doc006,flat_rag,2,3,3,5,
doc006_q01,doc006,section_rag,2,3,4,5,
doc006_q01,doc006,long_context,4,3,3,4,
doc006_q01,doc006,dat_no_expansion,3,4,3,4,
doc006_q01,doc006,dat_parent_only,4,2,3,4,
doc006_q01,doc006,dat_no_self_scoring,3,4,5,4,
doc006_q02,doc006,dat_full,3,5,3,5,
doc006_q02,doc006,flat_rag,3,2,3,4,
doc006_q02,doc006,section_rag,2,4,4,4,
doc006_q02,doc006,long_context,4,4,3,3,
doc006_q02,doc006,dat_no_expansion,4,5,5,5,
doc006_q02,doc006,dat_parent_only,3,3,2,4,
doc006_q02,doc006,dat_no_self_scoring,4,3,4,5,
doc006_q03,doc006,dat_full,3,5,4,5,
doc006_q03,doc006,flat_rag,4,2,3,3,
doc006_q03,doc006,section_rag,4,4,1,4,
doc006_q03,doc006,long_context,3,5,2,3,
doc006_q03,doc006,dat_no_expansion,5,4,2,3,
doc006_q03,doc006,dat_parent_only,5,4,3,3,
doc006_q03,doc006,dat_no_self_scoring,4,4,4,4,
doc006_q04,doc006,dat_full,4,4,5,4,True
doc006_q04,doc006,flat_rag,3,3,4,3,False
doc006_q04,doc006,section_rag,3,2,4,3,False
doc006_q04,doc006,long_context,3,3,3,5,True
doc006_q04,doc006,dat_no_expansion,5,4,3,4,True
doc006_q04,doc006,dat_parent_only,4,4,3,3,True
doc006_q04,doc006,dat_no_self_scoring,2,3,3,3,False
doc006_q05,doc006,dat_full,3,4,5,5,
doc006_q05,doc006,flat_rag,4,5,2,4,
doc006_q05,doc006,section_rag,3,4,5,5,
doc006_q05,doc006,long_context,5,4,4,4,
doc006_q05,doc006,dat_no_expansion,5,5,4,4,
doc006_q05,doc006,dat_parent_only,3,5,3,3,
doc006_q05,doc006,dat_no_self_scoring,3,4,3,4,
doc006_q06,doc006,dat_full,4,5,5,4,
doc006_q06,doc006,flat_rag,5,3,3,3,
doc006_q06,doc006,section_rag,4,2,4,4,
doc006_q06,doc006,long_context,5,3,3,4,
doc006_q06,doc006,dat_no_expansion,3,4,4,4,
doc006_q06,doc006,dat_parent_only,4,4,3,5,
doc006_q06,doc006,dat_no_self_scoring,5,5,5,2,
doc006_q07,doc006,dat_full,5,4,3,5,
doc006_q07,doc006,flat_rag,4,4,2,3,
doc006_q07,doc006,section_rag,4,4,5,4,
doc006_q07,doc006,long_context,5,4,3,3,
doc006_q07,doc006,dat_no_expansion,4,4,4,3,
doc006_q07,doc006,dat_parent_only,3,4,3,3,
doc006_q07,doc006,dat_no_self_scoring,4,5,4,3,
doc006_q08,doc006,dat_full,5,4,3,4,
doc006_q08,doc006,flat_rag,2,3,4,5,
doc006_q08,doc006,section_rag,3,2,4,4,
doc006_q08,doc006,long_context,5,5,3,4,
doc006_q08,doc006,dat_no_expansion,3,3,5,4,
doc006_q08,doc006,dat_parent_only,4,5,3,4,
doc006_q08,doc006,dat_no_self_scoring,5,3,4,4,
doc007_q01,doc007,dat_full,5,4,4,5,
doc007_q01,doc007,flat_rag,3,4,4,5,
doc007_q01,doc007,section_rag,3,5,4,2,
doc007_q01,doc007,long_context,4,4,4,3,
doc007_q01,doc007,dat_no_expansion,4,5,3,4,
doc007_q01,doc007,dat_parent_only,4,3,3,4,
doc007_q01,doc007,dat_no_self_scoring,3,4,4,3,
doc007_q02,doc007,dat_full,4,3,3,4,
doc007_q02,doc007,flat_rag,2,5,3,3,
doc007_q02,doc007,section_rag,2,2,3,5,
doc007_q02,doc007,long_context,4,3,2,4,
doc007_q02,doc007,dat_no_expansion,4,4,4,3,
doc007_q02,doc007,dat_parent_only,5,4,4,4,
doc007_q02,doc007,dat_no_self_scoring,4,4,4,3,
doc007_q03,doc007,dat_full,5,4,3,4,
doc007_q03,doc007,flat_rag,2,3,3,4,
doc007_q03,doc007,section_rag,4,4,2,4,
doc007_q03,doc007,long_context,2,4,4,4,
doc007_q03,doc007,dat_no_expansion,4,3,4,4,
doc007_q03,doc007,dat_parent_only,4,3,3,4,
doc007_q03,doc007,dat_no_self_scoring,4,3,3,2,
doc007_q04,doc007,dat_full,4,3,4,4,
doc007_q04,doc007,flat_rag,3,5,3,3,
doc007_q04,doc007,section_rag,3,3,4,4,
doc007_q04,doc007,long_context,5,4,3,3,
doc007_q04,doc007,dat_no_expansion,4,4,3,4,
doc007_q04,doc007,dat_parent_only,3,3,3,4,
doc007_q04,doc007,dat_no_self_scoring,5,5,4,4,
doc007_q05,doc007,dat_full,3,4,4,4,True
doc007_q05,doc007,flat_rag,1,4,2,4,False
doc007_q05,doc007,section_rag,4,5,4,2,False
doc007_q05,doc007,long_context,4,4,4,4,False
doc007_q05,doc007,dat_no_expansion,3,4,3,3,True
doc007_q05,doc007,dat_parent_only,4,4,5,4,True
doc007_q05,doc007,dat_no_self_scoring,4,3,2,2,True
doc007_q06,doc007,dat_full,5,5,4,4,
doc007_q06,doc007,flat_rag,5,4,3,3,
doc007_q06,doc007,section_rag,4,4,2,4,
doc007_q06,doc007,long_context,4,4,3,4,
doc007_q06,doc007,dat_no_expansion,3,4,3,5,
doc007_q06,doc007,dat_parent_only,4,4,4,5,
doc007_q06,doc007,dat_no_self_scoring,4,2,4,4,
doc007_q07,doc007,dat_full,4,4,5,5,
doc007_q07,doc007,flat_rag,4,5,2,4,
doc007_q07,doc007,section_rag,5,4,2,3,
doc007_q07,doc007,long_context,5,4,4,4,
doc007_q07,doc007,dat_no_expansion,4,5,4,5,
doc007_q07,doc007,dat_parent_only,4,3,3,4,
doc007_q07,doc007,dat_no_self_scoring,3,3,4,3,
doc007_q08,doc007,dat_full,5,4,5,4,
doc007_q08,doc007,flat_rag,3,4,3,3,
doc007_q08,doc007,section_rag,3,2,4,4,
doc007_q08,doc007,long_context,3,4,4,4,
doc007_q08,doc007,dat_no_expansion,5,3,3,4,
doc007_q08,doc007,dat_parent_only,3,5,4,4,
doc007_q08,doc007,dat_no_self_scoring,3,5,3,4,
doc008_q01,doc008,dat_full,4,4,3,5,
doc008_q01,doc008,flat_rag,4,3,4,4,
doc008_q01,doc008,section_rag,4,3,2,4,
doc008_q01,doc008,long_context,4,3,3,3,
doc008_q01,doc008,dat_no_expansion,4,4,3,3,
doc008_q01,doc008,dat_parent_only,2,3,4,3,
doc008_q01,doc008,dat_no_self_scoring,3,4,3,4,
doc008_q02,doc008,dat_full,4,4,3,5,
doc008_q02,doc008,flat_rag,4,5,2,4,
doc008_q02,doc008,section_rag,5,4,3,4,
doc008_q02,doc008,long_context,4,4,4,5,
doc008_q02,doc008,dat_no_expansion,3,5,4,4,
doc008_q02,doc008,dat_parent_only,4,4,3,5,
doc008_q02,doc008,dat_no_self_scoring,4,4,3,4,
doc008_q03,doc008,dat_full,4,3,3,4,
doc008_q03,doc008,flat_rag,5,5,4,4,
doc008_q03,doc008,section_rag,4,3,5,3,
doc008_q03,doc008,long_context,3,3,4,4,
doc008_q03,doc008,dat_no_expansion,3,5,4,3,
doc008_q03,doc008,dat_parent_only,4,3,3,4,
doc008_q03,doc008,dat_no_self_scoring,3,5,4,5,
doc008_q04,doc008,dat_full,4,4,3,4,
doc008_q04,doc008,flat_rag,4,3,3,4,
doc008_q04,doc008,section_rag,4,4,2,4,
doc008_q04,doc008,long_context,3,3,3,4,
doc008_q04,doc008,dat_no_expansion,3,4,3,5,
doc008_q04,doc008,dat_parent_only,4,4,3,4,
doc008_q04,doc008,dat_no_self_scoring,3,4,4,4,
doc008_q05,doc008,dat_full,5,4,4,4,
doc008_q05,doc008,flat_rag,3,4,2,3,
doc008_q05,doc008,section_rag,3,3,2,5,
doc008_q05,doc008,long_context,5,4,4,3,
doc008_q05,doc008,dat_no_expansion,4,5,5,4,
doc008_q05,doc008,dat_parent_only,4,5,3,5,
doc008_q05,doc008,dat_no_self_scoring,4,4,5,5,
doc008_q06,doc008,dat_full,5,5,5,4,False
doc008_q06,doc008,flat_rag,2,4,3,4,True
doc008_q06,doc008,section_rag,3,3,4,3,True
doc008_q06,doc008,long_context,3,4,4,3,True
doc008_q06,doc008,dat_no_expansion,3,4,2,3,False
doc008_q06,doc008,dat_parent_only,4,3,3,4,True
doc008_q06,doc008,dat_no_self_scoring,3,5,2,5,True
doc008_q07,doc008,dat_full,4,3,3,4,
doc008_q07,doc008,flat_rag,3,4,1,4,
doc008_q07,doc008,section_rag,2,5,4,3,
doc008_q07,doc008,long_context,4,4,3,3,
doc008_q07,doc008,dat_no_expansion,5,4,3,4,
doc008_q07,doc008,dat_parent_only,4,4,4,4,
doc008_q07,doc008,dat_no_self_scoring,3,3,5,3,
doc008_q08,doc008,dat_full,5,5,3,5,
doc008_q08,doc008,flat_rag,2,4,3,3,
doc008_q08,doc008,section_rag,2,3,4,3,
doc008_q08,doc008,long_context,3,4,4,5,
doc008_q08,doc008,dat_no_expansion,5,5,4,4,
doc008_q08,doc008,dat_parent_only,2,3,2,5,
doc008_q08,doc008,dat_no_self_scoring,4,5,3,4,
doc009_q01,doc009,dat_full,5,5,5,4,
doc009_q01,doc009,flat_rag,5,5,2,3,
doc009_q01,doc009,section_rag,4,4,4,3,
doc009_q01,doc009,long_context,4,5,3,3,
doc009_q01,doc009,dat_no_expansion,3,4,3,3,
doc009_q01,doc009,dat_parent_only,4,4,3,3,
doc009_q01,doc009,dat_no_self_scoring,4,4,3,4,
doc009_q02,doc009,dat_full,4,4,3,4,
doc009_q02,doc009,flat_rag,3,4,4,4,
doc009_q02,doc009,section_rag,4,2,2,4,
doc009_q02,doc009,long_context,4,4,4,4,
doc009_q02,doc009,dat_no_expansion,5,4,4,4,
doc009_q02,doc009,dat_parent_only,4,4,2,5,
doc009_q02,doc009,dat_no_self_scoring,4,3,4,2,
doc009_q03,doc009,dat_full,3,5,5,5,
doc009_q03,doc009,flat_rag,5,3,4,3,
doc009_q03,doc009,section_rag,4,3,3,4,
doc009_q03,doc009,long_context,3,4,3,2,
doc009_q03,doc009,dat_no_expansion,4,4,5,4,
doc009_q03,doc009,dat_parent_only,5,5,4,4,
doc009_q03,doc009,dat_no_self_scoring,2,4,3,4,
doc009_q04,doc009,dat_full,4,3,3,3,
doc009_q04,doc009,flat_rag,4,3,3,2,
doc009_q04,doc009,section_rag,3,4,4,2,
doc009_q04,doc009,long_context,4,5,4,3,
doc009_q04,doc009,dat_no_expansion,5,5,4,3,
doc009_q04,doc009,dat_parent_only,3,5,3,4,
doc009_q04,doc009,dat_no_self_scoring,2,4,5,3,
doc009_q05,doc009,dat_full,3,4,4,5,False
doc009_q05,doc009,flat_rag,3,4,2,2,False
doc009_q05,doc009,section_rag,3,4,2,4,False
doc009_q05,doc009,long_context,3,5,4,4,False
doc009_q05,doc009,dat_no_expansion,5,5,3,4,False
doc009_q05,doc009,dat_parent_only,4,5,3,4,False
doc009_q05,doc009,dat_no_self_scoring,3,4,5,3,False
doc009_q06,doc009,dat_full,5,5,4,5,
doc009_q06,doc009,flat_rag,4,4,3,4,
doc009_q06,doc009,section_rag,5,4,3,5,
doc009_q06,doc009,long_context,4,4,4,3,
doc009_q06,doc009,dat_no_expansion,3,4,4,4,
doc009_q06,doc009,dat_parent_only,2,4,3,4,
doc009_q06,doc009,dat_no_self_scoring,2,4,5,4,
doc009_q07,doc009,dat_full,4,5,4,5,
doc009_q07,doc009,flat_rag,3,3,3,2,
doc009_q07,doc009,section_rag,4,5,2,3,
doc009_q07,doc009,long_context,3,5,3,3,
doc009_q07,doc009,dat_no_expansion,4,4,4,3,
doc009_q07,doc009,dat_parent_only,4,5,4,4,
doc009_q07,doc009,dat_no_self_scoring,4,4,5,3,
doc009_q08,doc009,dat_full,4,3,4,5,
doc009_q08,doc009,flat_rag,3,3,4,2,
doc009_q08,doc009,section_rag,4,3,4,3,
doc009_q08,doc009,long_context,3,4,5,5,
doc009_q08,doc009,dat_no_expansion,4,4,4,4,
